"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 12 10:25:02 GMT 2024","Mon Aug 12 10:25:04 GMT 2024","2162","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Mon Aug 12 10:24:59 GMT 2024","Mon Aug 12 10:25:02 GMT 2024","2477","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
