"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 12 10:31:46 GMT 2024","Mon Aug 12 10:31:48 GMT 2024","2075","","スモークテスト","","","","Webサイトを開きログインする",""
"passed","Mon Aug 12 10:31:44 GMT 2024","Mon Aug 12 10:31:46 GMT 2024","1558","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
