"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 12 12:52:21 GMT 2024","Mon Aug 12 12:52:22 GMT 2024","1109","","一般的なエラーのテスト","","","","ユーザーが存在しないURLにアクセスすると、エラーメッセージと商品一覧へのリンクが表示される",""
"passed","Mon Aug 12 12:52:12 GMT 2024","Mon Aug 12 12:52:21 GMT 2024","8121","","注文プロセスのテスト","","","","ログインし、お弁当を注文し、お弁当を受け取る",""
